stretching 10.0
type_eddy -1.0
dy 4000.0
H_eddy 1000.0
V0_eddy 0.5
ngrid_y 100.0
Lx 400000.0
Lz 4000.0
dx 4000.0
ngrid_z 30.0
R_eddy 15000.0
power_shape 20.0
refinement 10.0
Ly 400000.0
ngrid_x 100.0
i: 85000, t: 29.427 days, Δt: 30 seconds, umax = (4.2e-01, 4.3e-01, 1.4e-03) ms⁻¹, wall time: 12.721 minutes
i: 86000, t: 29.774 days, Δt: 30 seconds, umax = (4.2e-01, 4.3e-01, 2.0e-03) ms⁻¹, wall time: 12.856 minutes
i: 87000, t: 30.121 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.1e-03) ms⁻¹, wall time: 13.017 minutes
i: 88000, t: 30.468 days, Δt: 30 seconds, umax = (4.3e-01, 4.2e-01, 1.5e-03) ms⁻¹, wall time: 13.153 minutes
i: 89000, t: 30.816 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.6e-03) ms⁻¹, wall time: 13.288 minutes
i: 90000, t: 31.163 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.5e-03) ms⁻¹, wall time: 13.427 minutes
i: 91000, t: 31.510 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.1e-03) ms⁻¹, wall time: 13.562 minutes
i: 92000, t: 31.857 days, Δt: 30 seconds, umax = (4.2e-01, 4.3e-01, 1.5e-03) ms⁻¹, wall time: 13.698 minutes
i: 93000, t: 32.205 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.6e-03) ms⁻¹, wall time: 13.836 minutes
i: 94000, t: 32.552 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.8e-03) ms⁻¹, wall time: 13.972 minutes
i: 95000, t: 32.899 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.1e-03) ms⁻¹, wall time: 14.108 minutes
i: 96000, t: 33.246 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.0e-03) ms⁻¹, wall time: 14.246 minutes
i: 97000, t: 33.593 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.7e-03) ms⁻¹, wall time: 14.382 minutes
i: 98000, t: 33.941 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.5e-03) ms⁻¹, wall time: 14.517 minutes
i: 99000, t: 34.288 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.6e-03) ms⁻¹, wall time: 14.656 minutes
i: 100000, t: 34.635 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.0e-03) ms⁻¹, wall time: 14.795 minutes
i: 101000, t: 34.982 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.5e-03) ms⁻¹, wall time: 14.930 minutes
i: 102000, t: 35.330 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.2e-03) ms⁻¹, wall time: 15.069 minutes
i: 103000, t: 35.677 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.0e-03) ms⁻¹, wall time: 15.205 minutes
i: 104000, t: 36.024 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 1.7e-03) ms⁻¹, wall time: 15.344 minutes
i: 105000, t: 36.371 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.8e-03) ms⁻¹, wall time: 15.479 minutes
i: 106000, t: 36.718 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 3.0e-03) ms⁻¹, wall time: 15.615 minutes
i: 107000, t: 37.066 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 3.2e-03) ms⁻¹, wall time: 15.754 minutes
i: 108000, t: 37.413 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.8e-03) ms⁻¹, wall time: 15.890 minutes
i: 109000, t: 37.760 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.9e-03) ms⁻¹, wall time: 16.025 minutes
i: 110000, t: 38.107 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 3.2e-03) ms⁻¹, wall time: 16.164 minutes
i: 111000, t: 38.455 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 3.2e-03) ms⁻¹, wall time: 16.299 minutes
i: 112000, t: 38.802 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 3.1e-03) ms⁻¹, wall time: 16.435 minutes
i: 113000, t: 39.149 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 3.2e-03) ms⁻¹, wall time: 16.574 minutes
i: 114000, t: 39.496 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 3.2e-03) ms⁻¹, wall time: 16.709 minutes
i: 115000, t: 39.843 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.8e-03) ms⁻¹, wall time: 16.844 minutes
i: 116000, t: 40.191 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.7e-03) ms⁻¹, wall time: 16.983 minutes
i: 117000, t: 40.538 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.4e-03) ms⁻¹, wall time: 17.118 minutes
i: 118000, t: 40.885 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.2e-03) ms⁻¹, wall time: 17.253 minutes
i: 119000, t: 41.232 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.6e-03) ms⁻¹, wall time: 17.392 minutes
i: 120000, t: 41.580 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.9e-03) ms⁻¹, wall time: 17.527 minutes
i: 121000, t: 41.927 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.6e-03) ms⁻¹, wall time: 17.663 minutes
i: 122000, t: 42.274 days, Δt: 30 seconds, umax = (4.2e-01, 4.2e-01, 2.4e-03) ms⁻¹, wall time: 17.805 minutes
