stretching 40.0
type_eddy 1.0
dy 500.0
H_eddy 200.0
V0_eddy 0.5
ngrid_y 400.0
Lx 200000.0
Lz 4000.0
dx 500.0
ngrid_z 100.0
R_eddy 10000.0
power_shape 20.0
refinement 4.0
Ly 200000.0
ngrid_x 400.0
i: 0000, t: 0 seconds, Δt: 1.100 seconds, umax = (5.2e-01, 5.2e-01, 7.2e-03) ms⁻¹, wall time: 0 seconds
i: 1000, t: 6.245 hours, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 6.3e-03) ms⁻¹, wall time: 3.880 minutes
i: 2000, t: 14.578 hours, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 4.2e-03) ms⁻¹, wall time: 6.252 minutes
i: 3000, t: 22.911 hours, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 4.3e-03) ms⁻¹, wall time: 8.564 minutes
i: 4000, t: 1.302 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 3.6e-03) ms⁻¹, wall time: 10.907 minutes
i: 5000, t: 1.649 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 3.3e-03) ms⁻¹, wall time: 13.214 minutes
i: 6000, t: 1.996 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 2.9e-03) ms⁻¹, wall time: 15.517 minutes
i: 7000, t: 2.343 days, Δt: 30 seconds, umax = (5.0e-01, 4.8e-01, 2.9e-03) ms⁻¹, wall time: 17.858 minutes
i: 8000, t: 2.691 days, Δt: 30 seconds, umax = (4.8e-01, 5.1e-01, 2.2e-03) ms⁻¹, wall time: 20.159 minutes
i: 9000, t: 3.038 days, Δt: 30 seconds, umax = (5.0e-01, 4.8e-01, 2.0e-03) ms⁻¹, wall time: 22.939 minutes
i: 10000, t: 3.385 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 1.9e-03) ms⁻¹, wall time: 25.237 minutes
i: 11000, t: 3.732 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 2.0e-03) ms⁻¹, wall time: 27.539 minutes
i: 12000, t: 4.080 days, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 1.6e-03) ms⁻¹, wall time: 29.874 minutes
i: 13000, t: 4.427 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 1.5e-03) ms⁻¹, wall time: 32.164 minutes
i: 14000, t: 4.774 days, Δt: 30 seconds, umax = (4.9e-01, 4.9e-01, 1.6e-03) ms⁻¹, wall time: 34.450 minutes
i: 15000, t: 5.121 days, Δt: 30 seconds, umax = (5.0e-01, 4.8e-01, 1.5e-03) ms⁻¹, wall time: 36.780 minutes
i: 16000, t: 5.468 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 1.2e-03) ms⁻¹, wall time: 39.075 minutes
i: 17000, t: 5.816 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 1.2e-03) ms⁻¹, wall time: 41.373 minutes
i: 18000, t: 6.163 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 1.2e-03) ms⁻¹, wall time: 43.705 minutes
i: 19000, t: 6.510 days, Δt: 30 seconds, umax = (4.7e-01, 4.9e-01, 1.2e-03) ms⁻¹, wall time: 46.003 minutes
i: 20000, t: 6.857 days, Δt: 30 seconds, umax = (4.9e-01, 4.8e-01, 1.1e-03) ms⁻¹, wall time: 48.295 minutes
i: 21000, t: 7.205 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 9.0e-04) ms⁻¹, wall time: 50.618 minutes
i: 22000, t: 7.552 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 9.4e-04) ms⁻¹, wall time: 52.905 minutes
i: 23000, t: 7.899 days, Δt: 30 seconds, umax = (5.0e-01, 5.0e-01, 8.4e-04) ms⁻¹, wall time: 55.198 minutes
i: 24000, t: 8.246 days, Δt: 30 seconds, umax = (4.8e-01, 5.0e-01, 7.7e-04) ms⁻¹, wall time: 57.530 minutes
i: 25000, t: 8.593 days, Δt: 30 seconds, umax = (4.8e-01, 4.8e-01, 8.3e-04) ms⁻¹, wall time: 59.826 minutes
