stretching 40.0
type_eddy 1.0
dy 500.0
H_eddy 200.0
V0_eddy 0.5
ngrid_y 400.0
Lx 200000.0
Lz 4000.0
dx 500.0
ngrid_z 100.0
R_eddy 10000.0
power_shape 20.0
refinement 4.0
Ly 200000.0
ngrid_x 400.0
i: 41000, t: 14.149 days, Δt: 30 seconds, umax = (5.4e-01, 4.8e-01, 4.0e-02) ms⁻¹, wall time: 1.478 hours
i: 42000, t: 14.496 days, Δt: 30 seconds, umax = (5.3e-01, 5.3e-01, 4.2e-02) ms⁻¹, wall time: 1.513 hours
i: 43000, t: 14.843 days, Δt: 30 seconds, umax = (5.0e-01, 5.6e-01, 4.0e-02) ms⁻¹, wall time: 1.548 hours
i: 44000, t: 15.191 days, Δt: 30 seconds, umax = (4.8e-01, 6.0e-01, 4.7e-02) ms⁻¹, wall time: 1.583 hours
i: 45000, t: 15.538 days, Δt: 30 seconds, umax = (4.6e-01, 6.2e-01, 4.3e-02) ms⁻¹, wall time: 1.618 hours
i: 46000, t: 15.885 days, Δt: 30 seconds, umax = (4.3e-01, 6.2e-01, 4.3e-02) ms⁻¹, wall time: 1.652 hours
i: 47000, t: 16.232 days, Δt: 30 seconds, umax = (4.0e-01, 6.0e-01, 4.4e-02) ms⁻¹, wall time: 1.688 hours
i: 48000, t: 16.580 days, Δt: 30 seconds, umax = (4.1e-01, 5.8e-01, 4.1e-02) ms⁻¹, wall time: 1.722 hours
i: 49000, t: 16.927 days, Δt: 30 seconds, umax = (4.1e-01, 5.7e-01, 5.4e-02) ms⁻¹, wall time: 1.757 hours
i: 50000, t: 17.274 days, Δt: 30 seconds, umax = (3.9e-01, 5.8e-01, 5.0e-02) ms⁻¹, wall time: 1.793 hours
i: 51000, t: 17.621 days, Δt: 30 seconds, umax = (3.5e-01, 6.1e-01, 5.3e-02) ms⁻¹, wall time: 1.827 hours
i: 52000, t: 17.968 days, Δt: 30 seconds, umax = (3.3e-01, 6.2e-01, 6.3e-02) ms⁻¹, wall time: 1.862 hours
i: 53000, t: 18.316 days, Δt: 30 seconds, umax = (3.4e-01, 6.2e-01, 5.3e-02) ms⁻¹, wall time: 1.898 hours
i: 54000, t: 18.663 days, Δt: 30 seconds, umax = (3.2e-01, 6.0e-01, 8.6e-02) ms⁻¹, wall time: 1.933 hours
i: 55000, t: 19.010 days, Δt: 30 seconds, umax = (4.0e-01, 5.8e-01, 7.3e-02) ms⁻¹, wall time: 1.968 hours
i: 56000, t: 19.357 days, Δt: 30 seconds, umax = (4.8e-01, 5.6e-01, 7.9e-02) ms⁻¹, wall time: 2.003 hours
i: 57000, t: 19.705 days, Δt: 30 seconds, umax = (6.0e-01, 5.4e-01, 1.0e-01) ms⁻¹, wall time: 2.038 hours
i: 58000, t: 20.052 days, Δt: 30 seconds, umax = (6.8e-01, 5.1e-01, 8.4e-02) ms⁻¹, wall time: 2.074 hours
i: 59000, t: 20.399 days, Δt: 30 seconds, umax = (7.0e-01, 4.7e-01, 6.3e-02) ms⁻¹, wall time: 2.109 hours
i: 60000, t: 20.746 days, Δt: 30 seconds, umax = (6.7e-01, 4.5e-01, 7.6e-02) ms⁻¹, wall time: 2.144 hours
i: 61000, t: 21.093 days, Δt: 30 seconds, umax = (6.7e-01, 5.4e-01, 7.8e-02) ms⁻¹, wall time: 2.179 hours
i: 62000, t: 21.441 days, Δt: 30 seconds, umax = (6.9e-01, 6.1e-01, 6.2e-02) ms⁻¹, wall time: 2.214 hours
i: 63000, t: 21.788 days, Δt: 30 seconds, umax = (6.8e-01, 6.7e-01, 8.0e-02) ms⁻¹, wall time: 2.249 hours
i: 64000, t: 22.135 days, Δt: 30 seconds, umax = (6.5e-01, 6.8e-01, 8.3e-02) ms⁻¹, wall time: 2.285 hours
i: 65000, t: 22.482 days, Δt: 30 seconds, umax = (6.2e-01, 6.6e-01, 1.0e-01) ms⁻¹, wall time: 2.320 hours
i: 66000, t: 22.830 days, Δt: 30 seconds, umax = (6.0e-01, 6.4e-01, 9.0e-02) ms⁻¹, wall time: 2.354 hours
i: 67000, t: 23.177 days, Δt: 30 seconds, umax = (5.9e-01, 6.1e-01, 7.6e-02) ms⁻¹, wall time: 2.390 hours
i: 68000, t: 23.524 days, Δt: 30 seconds, umax = (5.4e-01, 6.3e-01, 9.5e-02) ms⁻¹, wall time: 2.425 hours
i: 69000, t: 23.871 days, Δt: 30 seconds, umax = (4.8e-01, 6.5e-01, 9.9e-02) ms⁻¹, wall time: 2.460 hours
i: 70000, t: 24.218 days, Δt: 30 seconds, umax = (5.1e-01, 6.2e-01, 8.4e-02) ms⁻¹, wall time: 2.495 hours
i: 71000, t: 24.566 days, Δt: 30 seconds, umax = (5.5e-01, 5.6e-01, 9.9e-02) ms⁻¹, wall time: 2.530 hours
i: 72000, t: 24.913 days, Δt: 30 seconds, umax = (5.6e-01, 5.3e-01, 8.9e-02) ms⁻¹, wall time: 2.565 hours
i: 73000, t: 25.260 days, Δt: 30 seconds, umax = (5.6e-01, 5.3e-01, 8.8e-02) ms⁻¹, wall time: 2.600 hours
i: 74000, t: 25.607 days, Δt: 30 seconds, umax = (5.9e-01, 5.3e-01, 8.4e-02) ms⁻¹, wall time: 2.635 hours
i: 75000, t: 25.955 days, Δt: 30 seconds, umax = (6.3e-01, 5.2e-01, 8.2e-02) ms⁻¹, wall time: 2.669 hours
i: 76000, t: 26.302 days, Δt: 30 seconds, umax = (6.5e-01, 4.8e-01, 8.6e-02) ms⁻¹, wall time: 2.704 hours
i: 77000, t: 26.649 days, Δt: 30 seconds, umax = (6.5e-01, 5.1e-01, 9.9e-02) ms⁻¹, wall time: 2.739 hours
i: 78000, t: 26.996 days, Δt: 30 seconds, umax = (6.4e-01, 5.7e-01, 8.0e-02) ms⁻¹, wall time: 2.773 hours
i: 79000, t: 27.343 days, Δt: 30 seconds, umax = (6.3e-01, 6.3e-01, 1.0e-01) ms⁻¹, wall time: 2.809 hours
i: 80000, t: 27.691 days, Δt: 30 seconds, umax = (6.4e-01, 6.3e-01, 9.7e-02) ms⁻¹, wall time: 2.843 hours
i: 81000, t: 28.038 days, Δt: 30 seconds, umax = (6.3e-01, 6.1e-01, 7.5e-02) ms⁻¹, wall time: 2.879 hours
i: 82000, t: 28.385 days, Δt: 30 seconds, umax = (6.1e-01, 6.2e-01, 7.9e-02) ms⁻¹, wall time: 2.913 hours
i: 83000, t: 28.732 days, Δt: 30 seconds, umax = (6.1e-01, 6.2e-01, 9.6e-02) ms⁻¹, wall time: 2.948 hours
i: 84000, t: 29.080 days, Δt: 30 seconds, umax = (5.7e-01, 5.9e-01, 9.5e-02) ms⁻¹, wall time: 2.984 hours
i: 85000, t: 29.427 days, Δt: 30 seconds, umax = (5.9e-01, 5.9e-01, 8.4e-02) ms⁻¹, wall time: 3.019 hours
i: 86000, t: 29.774 days, Δt: 30 seconds, umax = (6.0e-01, 5.6e-01, 8.1e-02) ms⁻¹, wall time: 3.054 hours
i: 87000, t: 30.121 days, Δt: 30 seconds, umax = (5.9e-01, 5.7e-01, 8.2e-02) ms⁻¹, wall time: 3.092 hours
i: 88000, t: 30.468 days, Δt: 30 seconds, umax = (5.9e-01, 5.8e-01, 8.5e-02) ms⁻¹, wall time: 3.127 hours
i: 89000, t: 30.816 days, Δt: 30 seconds, umax = (5.6e-01, 5.6e-01, 8.9e-02) ms⁻¹, wall time: 3.162 hours
i: 90000, t: 31.163 days, Δt: 30 seconds, umax = (5.5e-01, 6.0e-01, 8.5e-02) ms⁻¹, wall time: 3.198 hours
i: 91000, t: 31.510 days, Δt: 30 seconds, umax = (5.7e-01, 5.8e-01, 8.5e-02) ms⁻¹, wall time: 3.233 hours
i: 92000, t: 31.857 days, Δt: 30 seconds, umax = (5.8e-01, 5.8e-01, 8.3e-02) ms⁻¹, wall time: 3.268 hours
i: 93000, t: 32.205 days, Δt: 30 seconds, umax = (5.9e-01, 5.7e-01, 8.0e-02) ms⁻¹, wall time: 3.304 hours
i: 94000, t: 32.552 days, Δt: 30 seconds, umax = (5.8e-01, 6.1e-01, 8.3e-02) ms⁻¹, wall time: 3.339 hours
i: 95000, t: 32.899 days, Δt: 30 seconds, umax = (5.8e-01, 6.0e-01, 8.6e-02) ms⁻¹, wall time: 3.374 hours
i: 96000, t: 33.246 days, Δt: 30 seconds, umax = (6.1e-01, 5.7e-01, 7.7e-02) ms⁻¹, wall time: 3.409 hours
i: 97000, t: 33.593 days, Δt: 30 seconds, umax = (5.8e-01, 5.8e-01, 8.1e-02) ms⁻¹, wall time: 3.444 hours
i: 98000, t: 33.941 days, Δt: 30 seconds, umax = (5.7e-01, 6.0e-01, 7.9e-02) ms⁻¹, wall time: 3.479 hours
i: 99000, t: 34.288 days, Δt: 30 seconds, umax = (5.3e-01, 6.2e-01, 8.4e-02) ms⁻¹, wall time: 3.515 hours
i: 100000, t: 34.635 days, Δt: 30 seconds, umax = (5.5e-01, 5.7e-01, 9.5e-02) ms⁻¹, wall time: 3.549 hours
i: 101000, t: 34.982 days, Δt: 30 seconds, umax = (5.6e-01, 5.6e-01, 1.1e-01) ms⁻¹, wall time: 3.584 hours
i: 102000, t: 35.330 days, Δt: 30 seconds, umax = (5.5e-01, 5.5e-01, 8.3e-02) ms⁻¹, wall time: 3.620 hours
i: 103000, t: 35.677 days, Δt: 30 seconds, umax = (5.3e-01, 5.7e-01, 1.0e-01) ms⁻¹, wall time: 3.655 hours
i: 104000, t: 36.024 days, Δt: 30 seconds, umax = (5.4e-01, 5.7e-01, 8.3e-02) ms⁻¹, wall time: 3.690 hours
i: 105000, t: 36.371 days, Δt: 30 seconds, umax = (5.7e-01, 5.5e-01, 9.3e-02) ms⁻¹, wall time: 3.725 hours
i: 106000, t: 36.718 days, Δt: 30 seconds, umax = (5.7e-01, 5.3e-01, 8.4e-02) ms⁻¹, wall time: 3.760 hours
i: 107000, t: 37.066 days, Δt: 30 seconds, umax = (5.5e-01, 5.3e-01, 1.1e-01) ms⁻¹, wall time: 3.795 hours
i: 108000, t: 37.413 days, Δt: 30 seconds, umax = (5.5e-01, 5.5e-01, 1.0e-01) ms⁻¹, wall time: 3.830 hours
i: 109000, t: 37.760 days, Δt: 30 seconds, umax = (5.7e-01, 5.4e-01, 8.0e-02) ms⁻¹, wall time: 3.865 hours
i: 110000, t: 38.107 days, Δt: 30 seconds, umax = (5.8e-01, 5.4e-01, 8.9e-02) ms⁻¹, wall time: 3.900 hours
i: 111000, t: 38.455 days, Δt: 30 seconds, umax = (5.8e-01, 5.3e-01, 9.8e-02) ms⁻¹, wall time: 3.935 hours
i: 112000, t: 38.802 days, Δt: 30 seconds, umax = (5.8e-01, 5.4e-01, 9.9e-02) ms⁻¹, wall time: 3.970 hours
i: 113000, t: 39.149 days, Δt: 30 seconds, umax = (5.8e-01, 5.7e-01, 9.1e-02) ms⁻¹, wall time: 4.005 hours
i: 114000, t: 39.496 days, Δt: 30 seconds, umax = (5.8e-01, 5.5e-01, 1.0e-01) ms⁻¹, wall time: 4.040 hours
i: 115000, t: 39.843 days, Δt: 30 seconds, umax = (5.7e-01, 5.8e-01, 1.3e-01) ms⁻¹, wall time: 4.074 hours
i: 116000, t: 40.191 days, Δt: 30 seconds, umax = (5.7e-01, 5.8e-01, 9.6e-02) ms⁻¹, wall time: 4.110 hours
i: 117000, t: 40.538 days, Δt: 30 seconds, umax = (5.6e-01, 5.8e-01, 1.2e-01) ms⁻¹, wall time: 4.145 hours
i: 118000, t: 40.885 days, Δt: 30 seconds, umax = (5.7e-01, 5.8e-01, 9.9e-02) ms⁻¹, wall time: 4.180 hours
i: 119000, t: 41.232 days, Δt: 30 seconds, umax = (5.5e-01, 5.9e-01, 9.3e-02) ms⁻¹, wall time: 4.216 hours
i: 120000, t: 41.580 days, Δt: 30 seconds, umax = (5.5e-01, 5.8e-01, 9.3e-02) ms⁻¹, wall time: 4.251 hours
i: 121000, t: 41.927 days, Δt: 30 seconds, umax = (5.5e-01, 5.9e-01, 9.3e-02) ms⁻¹, wall time: 4.285 hours
i: 122000, t: 42.274 days, Δt: 30 seconds, umax = (5.5e-01, 5.8e-01, 9.0e-02) ms⁻¹, wall time: 4.321 hours
i: 123000, t: 42.621 days, Δt: 30 seconds, umax = (5.2e-01, 5.8e-01, 9.5e-02) ms⁻¹, wall time: 4.356 hours
i: 124000, t: 42.968 days, Δt: 30 seconds, umax = (5.2e-01, 5.6e-01, 1.1e-01) ms⁻¹, wall time: 4.391 hours
