stretching 40.0
type_eddy 1.0
dy 500.0
H_eddy 300.0
V0_eddy 0.5
ngrid_y 400.0
Lx 200000.0
Lz 4000.0
dx 500.0
ngrid_z 100.0
R_eddy 10000.0
power_shape 20.0
refinement 4.0
Ly 200000.0
ngrid_x 400.0
i: 0000, t: 0 seconds, Δt: 1.100 seconds, umax = (5.2e-01, 5.2e-01, 9.2e-03) ms⁻¹, wall time: 0 seconds
i: 25000, t: 8.593 days, Δt: 30 seconds, umax = (5.9e-01, 5.9e-01, 5.5e-03) ms⁻¹, wall time: 59.488 minutes
i: 26000, t: 8.941 days, Δt: 30 seconds, umax = (5.7e-01, 6.0e-01, 5.5e-03) ms⁻¹, wall time: 1.029 hours
i: 27000, t: 9.288 days, Δt: 30 seconds, umax = (5.4e-01, 6.1e-01, 6.3e-03) ms⁻¹, wall time: 1.068 hours
i: 28000, t: 9.635 days, Δt: 30 seconds, umax = (5.2e-01, 6.0e-01, 7.6e-03) ms⁻¹, wall time: 1.106 hours
i: 29000, t: 9.982 days, Δt: 30 seconds, umax = (5.0e-01, 5.9e-01, 5.9e-03) ms⁻¹, wall time: 1.143 hours
i: 30000, t: 10.330 days, Δt: 30 seconds, umax = (4.7e-01, 5.8e-01, 4.0e-03) ms⁻¹, wall time: 1.182 hours
i: 31000, t: 10.677 days, Δt: 30 seconds, umax = (4.4e-01, 5.6e-01, 4.3e-03) ms⁻¹, wall time: 1.220 hours
i: 32000, t: 11.024 days, Δt: 30 seconds, umax = (4.8e-01, 5.3e-01, 4.4e-03) ms⁻¹, wall time: 1.266 hours
i: 33000, t: 11.371 days, Δt: 30 seconds, umax = (5.1e-01, 5.0e-01, 4.2e-03) ms⁻¹, wall time: 1.304 hours
i: 34000, t: 11.718 days, Δt: 30 seconds, umax = (5.3e-01, 4.8e-01, 4.7e-03) ms⁻¹, wall time: 1.341 hours
i: 35000, t: 12.066 days, Δt: 30 seconds, umax = (5.4e-01, 5.0e-01, 3.6e-03) ms⁻¹, wall time: 1.379 hours
i: 36000, t: 12.413 days, Δt: 30 seconds, umax = (5.4e-01, 5.3e-01, 4.1e-03) ms⁻¹, wall time: 1.417 hours
i: 37000, t: 12.760 days, Δt: 30 seconds, umax = (5.3e-01, 5.3e-01, 6.3e-03) ms⁻¹, wall time: 1.454 hours
i: 38000, t: 13.107 days, Δt: 30 seconds, umax = (5.2e-01, 5.2e-01, 3.3e-03) ms⁻¹, wall time: 1.492 hours
i: 39000, t: 13.455 days, Δt: 30 seconds, umax = (5.2e-01, 4.9e-01, 5.9e-03) ms⁻¹, wall time: 1.529 hours
i: 40000, t: 13.802 days, Δt: 30 seconds, umax = (5.0e-01, 4.9e-01, 3.4e-03) ms⁻¹, wall time: 1.566 hours
i: 41000, t: 14.149 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 5.1e-03) ms⁻¹, wall time: 1.604 hours
i: 42000, t: 14.496 days, Δt: 30 seconds, umax = (5.1e-01, 4.9e-01, 4.3e-03) ms⁻¹, wall time: 1.641 hours
i: 43000, t: 14.843 days, Δt: 30 seconds, umax = (5.1e-01, 4.9e-01, 5.8e-03) ms⁻¹, wall time: 1.678 hours
i: 44000, t: 15.191 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 5.0e-03) ms⁻¹, wall time: 1.715 hours
i: 45000, t: 15.538 days, Δt: 30 seconds, umax = (4.8e-01, 5.2e-01, 4.5e-03) ms⁻¹, wall time: 1.752 hours
i: 46000, t: 15.885 days, Δt: 30 seconds, umax = (4.8e-01, 5.2e-01, 7.1e-03) ms⁻¹, wall time: 1.788 hours
i: 47000, t: 16.232 days, Δt: 30 seconds, umax = (5.0e-01, 5.2e-01, 6.3e-03) ms⁻¹, wall time: 1.826 hours
i: 48000, t: 16.580 days, Δt: 30 seconds, umax = (5.0e-01, 5.1e-01, 7.6e-03) ms⁻¹, wall time: 1.862 hours
i: 49000, t: 16.927 days, Δt: 30 seconds, umax = (4.9e-01, 5.0e-01, 7.1e-03) ms⁻¹, wall time: 1.899 hours
i: 50000, t: 17.274 days, Δt: 30 seconds, umax = (5.2e-01, 5.0e-01, 5.5e-03) ms⁻¹, wall time: 1.936 hours
i: 51000, t: 17.621 days, Δt: 30 seconds, umax = (5.4e-01, 5.0e-01, 7.4e-03) ms⁻¹, wall time: 1.973 hours
i: 52000, t: 17.968 days, Δt: 30 seconds, umax = (5.4e-01, 5.0e-01, 1.1e-02) ms⁻¹, wall time: 2.010 hours
i: 53000, t: 18.316 days, Δt: 30 seconds, umax = (5.5e-01, 5.3e-01, 9.6e-03) ms⁻¹, wall time: 2.047 hours
i: 54000, t: 18.663 days, Δt: 30 seconds, umax = (5.6e-01, 5.4e-01, 8.3e-03) ms⁻¹, wall time: 2.084 hours
i: 55000, t: 19.010 days, Δt: 30 seconds, umax = (5.7e-01, 5.3e-01, 1.1e-02) ms⁻¹, wall time: 2.122 hours
i: 56000, t: 19.357 days, Δt: 30 seconds, umax = (6.0e-01, 5.3e-01, 5.7e-03) ms⁻¹, wall time: 2.159 hours
i: 57000, t: 19.705 days, Δt: 30 seconds, umax = (5.7e-01, 5.7e-01, 5.4e-03) ms⁻¹, wall time: 2.195 hours
i: 58000, t: 20.052 days, Δt: 30 seconds, umax = (5.6e-01, 5.5e-01, 8.1e-03) ms⁻¹, wall time: 2.233 hours
i: 59000, t: 20.399 days, Δt: 30 seconds, umax = (5.5e-01, 5.3e-01, 5.9e-03) ms⁻¹, wall time: 2.270 hours
i: 60000, t: 20.746 days, Δt: 30 seconds, umax = (5.5e-01, 5.1e-01, 6.9e-03) ms⁻¹, wall time: 2.307 hours
i: 61000, t: 21.093 days, Δt: 30 seconds, umax = (5.4e-01, 5.1e-01, 7.1e-03) ms⁻¹, wall time: 2.344 hours
i: 62000, t: 21.441 days, Δt: 30 seconds, umax = (5.5e-01, 5.0e-01, 6.6e-03) ms⁻¹, wall time: 2.381 hours
i: 63000, t: 21.788 days, Δt: 30 seconds, umax = (5.6e-01, 5.0e-01, 6.7e-03) ms⁻¹, wall time: 2.418 hours
i: 64000, t: 22.135 days, Δt: 30 seconds, umax = (5.5e-01, 5.1e-01, 8.4e-03) ms⁻¹, wall time: 2.455 hours
i: 65000, t: 22.482 days, Δt: 30 seconds, umax = (5.4e-01, 5.4e-01, 8.3e-03) ms⁻¹, wall time: 2.492 hours
i: 66000, t: 22.830 days, Δt: 30 seconds, umax = (5.5e-01, 5.4e-01, 6.2e-03) ms⁻¹, wall time: 2.528 hours
i: 67000, t: 23.177 days, Δt: 30 seconds, umax = (5.8e-01, 5.4e-01, 6.3e-03) ms⁻¹, wall time: 2.565 hours
i: 68000, t: 23.524 days, Δt: 30 seconds, umax = (5.8e-01, 5.7e-01, 8.1e-03) ms⁻¹, wall time: 2.602 hours
i: 69000, t: 23.871 days, Δt: 30 seconds, umax = (5.6e-01, 5.9e-01, 6.2e-03) ms⁻¹, wall time: 2.638 hours
i: 70000, t: 24.218 days, Δt: 30 seconds, umax = (5.4e-01, 5.9e-01, 6.7e-03) ms⁻¹, wall time: 2.675 hours
i: 71000, t: 24.566 days, Δt: 30 seconds, umax = (5.3e-01, 5.7e-01, 8.5e-03) ms⁻¹, wall time: 2.711 hours
i: 72000, t: 24.913 days, Δt: 30 seconds, umax = (5.2e-01, 5.7e-01, 9.2e-03) ms⁻¹, wall time: 2.747 hours
i: 73000, t: 25.260 days, Δt: 30 seconds, umax = (5.2e-01, 5.8e-01, 1.1e-02) ms⁻¹, wall time: 2.784 hours
i: 74000, t: 25.607 days, Δt: 30 seconds, umax = (4.9e-01, 5.7e-01, 1.1e-02) ms⁻¹, wall time: 2.821 hours
i: 75000, t: 25.955 days, Δt: 30 seconds, umax = (4.8e-01, 5.5e-01, 1.0e-02) ms⁻¹, wall time: 2.857 hours
i: 76000, t: 26.302 days, Δt: 30 seconds, umax = (5.0e-01, 5.3e-01, 7.9e-03) ms⁻¹, wall time: 2.894 hours
i: 77000, t: 26.649 days, Δt: 30 seconds, umax = (5.4e-01, 5.1e-01, 1.0e-02) ms⁻¹, wall time: 2.930 hours
i: 78000, t: 26.996 days, Δt: 30 seconds, umax = (5.7e-01, 5.0e-01, 9.6e-03) ms⁻¹, wall time: 2.967 hours
i: 79000, t: 27.343 days, Δt: 30 seconds, umax = (5.7e-01, 5.3e-01, 1.1e-02) ms⁻¹, wall time: 3.004 hours
i: 80000, t: 27.691 days, Δt: 30 seconds, umax = (5.7e-01, 5.6e-01, 1.1e-02) ms⁻¹, wall time: 3.040 hours
i: 81000, t: 28.038 days, Δt: 30 seconds, umax = (5.5e-01, 5.8e-01, 1.1e-02) ms⁻¹, wall time: 3.077 hours
i: 82000, t: 28.385 days, Δt: 30 seconds, umax = (5.4e-01, 5.9e-01, 9.4e-03) ms⁻¹, wall time: 3.113 hours
i: 83000, t: 28.732 days, Δt: 30 seconds, umax = (5.4e-01, 5.8e-01, 9.2e-03) ms⁻¹, wall time: 3.149 hours
i: 84000, t: 29.080 days, Δt: 30 seconds, umax = (5.3e-01, 5.7e-01, 1.5e-02) ms⁻¹, wall time: 3.186 hours
i: 85000, t: 29.427 days, Δt: 30 seconds, umax = (5.1e-01, 5.9e-01, 2.0e-02) ms⁻¹, wall time: 3.223 hours
i: 86000, t: 29.774 days, Δt: 30 seconds, umax = (5.0e-01, 5.7e-01, 1.6e-02) ms⁻¹, wall time: 3.259 hours
i: 87000, t: 30.121 days, Δt: 30 seconds, umax = (4.9e-01, 5.5e-01, 1.6e-02) ms⁻¹, wall time: 3.297 hours
i: 88000, t: 30.468 days, Δt: 30 seconds, umax = (5.2e-01, 5.3e-01, 1.9e-02) ms⁻¹, wall time: 3.333 hours
i: 89000, t: 30.816 days, Δt: 30 seconds, umax = (5.7e-01, 5.0e-01, 1.3e-02) ms⁻¹, wall time: 3.369 hours
i: 90000, t: 31.163 days, Δt: 30 seconds, umax = (5.8e-01, 5.0e-01, 1.3e-02) ms⁻¹, wall time: 3.406 hours
i: 91000, t: 31.510 days, Δt: 30 seconds, umax = (5.9e-01, 5.2e-01, 1.3e-02) ms⁻¹, wall time: 3.442 hours
i: 92000, t: 31.857 days, Δt: 30 seconds, umax = (5.8e-01, 5.4e-01, 1.6e-02) ms⁻¹, wall time: 3.478 hours
i: 93000, t: 32.205 days, Δt: 30 seconds, umax = (5.7e-01, 5.5e-01, 9.6e-03) ms⁻¹, wall time: 3.515 hours
i: 94000, t: 32.552 days, Δt: 30 seconds, umax = (5.6e-01, 5.5e-01, 8.3e-03) ms⁻¹, wall time: 3.551 hours
i: 95000, t: 32.899 days, Δt: 30 seconds, umax = (5.4e-01, 5.6e-01, 7.1e-03) ms⁻¹, wall time: 3.587 hours
i: 96000, t: 33.246 days, Δt: 30 seconds, umax = (5.2e-01, 5.6e-01, 7.4e-03) ms⁻¹, wall time: 3.623 hours
i: 97000, t: 33.593 days, Δt: 30 seconds, umax = (4.9e-01, 5.5e-01, 8.5e-03) ms⁻¹, wall time: 3.660 hours
i: 98000, t: 33.941 days, Δt: 30 seconds, umax = (4.8e-01, 5.5e-01, 1.0e-02) ms⁻¹, wall time: 3.696 hours
i: 99000, t: 34.288 days, Δt: 30 seconds, umax = (4.8e-01, 5.4e-01, 9.0e-03) ms⁻¹, wall time: 3.732 hours
i: 100000, t: 34.635 days, Δt: 30 seconds, umax = (5.0e-01, 5.2e-01, 1.0e-02) ms⁻¹, wall time: 3.768 hours
i: 101000, t: 34.982 days, Δt: 30 seconds, umax = (5.2e-01, 5.0e-01, 9.4e-03) ms⁻¹, wall time: 3.805 hours
i: 102000, t: 35.330 days, Δt: 30 seconds, umax = (5.5e-01, 5.1e-01, 1.0e-02) ms⁻¹, wall time: 3.841 hours
i: 103000, t: 35.677 days, Δt: 30 seconds, umax = (5.8e-01, 5.2e-01, 1.1e-02) ms⁻¹, wall time: 3.878 hours
i: 104000, t: 36.024 days, Δt: 30 seconds, umax = (5.6e-01, 5.5e-01, 9.5e-03) ms⁻¹, wall time: 3.914 hours
i: 105000, t: 36.371 days, Δt: 30 seconds, umax = (5.5e-01, 5.9e-01, 9.4e-03) ms⁻¹, wall time: 3.951 hours
i: 106000, t: 36.718 days, Δt: 30 seconds, umax = (5.6e-01, 6.0e-01, 1.5e-02) ms⁻¹, wall time: 3.987 hours
i: 107000, t: 37.066 days, Δt: 30 seconds, umax = (5.4e-01, 5.9e-01, 1.2e-02) ms⁻¹, wall time: 4.024 hours
i: 108000, t: 37.413 days, Δt: 30 seconds, umax = (5.2e-01, 5.8e-01, 1.7e-02) ms⁻¹, wall time: 4.060 hours
i: 109000, t: 37.760 days, Δt: 30 seconds, umax = (5.1e-01, 5.6e-01, 2.1e-02) ms⁻¹, wall time: 4.097 hours
i: 110000, t: 38.107 days, Δt: 30 seconds, umax = (5.3e-01, 5.4e-01, 2.1e-02) ms⁻¹, wall time: 4.141 hours
i: 111000, t: 38.455 days, Δt: 30 seconds, umax = (5.5e-01, 5.2e-01, 2.0e-02) ms⁻¹, wall time: 4.177 hours
i: 112000, t: 38.802 days, Δt: 30 seconds, umax = (5.6e-01, 5.0e-01, 1.5e-02) ms⁻¹, wall time: 4.214 hours
i: 113000, t: 39.149 days, Δt: 30 seconds, umax = (5.9e-01, 4.7e-01, 1.3e-02) ms⁻¹, wall time: 4.251 hours
i: 114000, t: 39.496 days, Δt: 30 seconds, umax = (6.0e-01, 4.8e-01, 1.6e-02) ms⁻¹, wall time: 4.287 hours
i: 115000, t: 39.843 days, Δt: 30 seconds, umax = (5.9e-01, 5.3e-01, 1.9e-02) ms⁻¹, wall time: 4.323 hours
i: 116000, t: 40.191 days, Δt: 30 seconds, umax = (6.0e-01, 5.5e-01, 1.9e-02) ms⁻¹, wall time: 4.360 hours
i: 117000, t: 40.538 days, Δt: 30 seconds, umax = (6.0e-01, 5.7e-01, 1.9e-02) ms⁻¹, wall time: 4.396 hours
i: 118000, t: 40.885 days, Δt: 30 seconds, umax = (5.9e-01, 5.9e-01, 2.1e-02) ms⁻¹, wall time: 4.433 hours
i: 119000, t: 41.232 days, Δt: 30 seconds, umax = (5.7e-01, 5.9e-01, 1.5e-02) ms⁻¹, wall time: 4.469 hours
i: 120000, t: 41.580 days, Δt: 30 seconds, umax = (5.6e-01, 5.7e-01, 1.9e-02) ms⁻¹, wall time: 4.506 hours
i: 121000, t: 41.927 days, Δt: 30 seconds, umax = (5.5e-01, 5.6e-01, 2.0e-02) ms⁻¹, wall time: 4.542 hours
i: 122000, t: 42.274 days, Δt: 30 seconds, umax = (5.5e-01, 5.6e-01, 2.3e-02) ms⁻¹, wall time: 4.579 hours
i: 123000, t: 42.621 days, Δt: 30 seconds, umax = (5.3e-01, 5.4e-01, 2.2e-02) ms⁻¹, wall time: 4.615 hours
i: 124000, t: 42.968 days, Δt: 30 seconds, umax = (5.3e-01, 5.3e-01, 2.0e-02) ms⁻¹, wall time: 4.651 hours
i: 125000, t: 43.316 days, Δt: 30 seconds, umax = (5.4e-01, 5.3e-01, 2.0e-02) ms⁻¹, wall time: 4.688 hours
i: 126000, t: 43.663 days, Δt: 30 seconds, umax = (5.7e-01, 5.5e-01, 1.8e-02) ms⁻¹, wall time: 4.725 hours
i: 127000, t: 44.010 days, Δt: 30 seconds, umax = (5.4e-01, 5.6e-01, 1.7e-02) ms⁻¹, wall time: 4.761 hours
i: 128000, t: 44.357 days, Δt: 30 seconds, umax = (5.3e-01, 5.8e-01, 1.6e-02) ms⁻¹, wall time: 4.798 hours
i: 129000, t: 44.705 days, Δt: 30 seconds, umax = (5.5e-01, 5.5e-01, 1.7e-02) ms⁻¹, wall time: 4.834 hours
i: 130000, t: 45.052 days, Δt: 30 seconds, umax = (5.6e-01, 5.6e-01, 1.8e-02) ms⁻¹, wall time: 4.871 hours
i: 131000, t: 45.399 days, Δt: 30 seconds, umax = (5.6e-01, 5.8e-01, 2.0e-02) ms⁻¹, wall time: 4.907 hours
i: 132000, t: 45.746 days, Δt: 30 seconds, umax = (5.5e-01, 5.9e-01, 1.7e-02) ms⁻¹, wall time: 4.943 hours
i: 133000, t: 46.093 days, Δt: 30 seconds, umax = (5.5e-01, 5.7e-01, 2.0e-02) ms⁻¹, wall time: 4.980 hours
i: 134000, t: 46.441 days, Δt: 30 seconds, umax = (5.4e-01, 6.0e-01, 2.5e-02) ms⁻¹, wall time: 5.016 hours
i: 135000, t: 46.788 days, Δt: 30 seconds, umax = (5.1e-01, 6.1e-01, 2.8e-02) ms⁻¹, wall time: 5.052 hours
i: 136000, t: 47.135 days, Δt: 30 seconds, umax = (5.1e-01, 5.9e-01, 2.7e-02) ms⁻¹, wall time: 5.089 hours
i: 137000, t: 47.482 days, Δt: 30 seconds, umax = (5.3e-01, 5.6e-01, 2.5e-02) ms⁻¹, wall time: 5.125 hours
i: 138000, t: 47.830 days, Δt: 30 seconds, umax = (5.5e-01, 5.5e-01, 3.0e-02) ms⁻¹, wall time: 5.160 hours
i: 139000, t: 48.177 days, Δt: 30 seconds, umax = (5.4e-01, 5.6e-01, 3.1e-02) ms⁻¹, wall time: 5.197 hours
i: 140000, t: 48.524 days, Δt: 30 seconds, umax = (5.5e-01, 5.5e-01, 3.3e-02) ms⁻¹, wall time: 5.233 hours
i: 141000, t: 48.871 days, Δt: 30 seconds, umax = (5.8e-01, 5.4e-01, 4.0e-02) ms⁻¹, wall time: 5.269 hours
i: 142000, t: 49.218 days, Δt: 30 seconds, umax = (6.0e-01, 5.4e-01, 3.9e-02) ms⁻¹, wall time: 5.305 hours
i: 143000, t: 49.566 days, Δt: 30 seconds, umax = (5.9e-01, 5.8e-01, 2.5e-02) ms⁻¹, wall time: 5.341 hours
i: 144000, t: 49.913 days, Δt: 30 seconds, umax = (5.8e-01, 5.9e-01, 2.1e-02) ms⁻¹, wall time: 5.377 hours
i: 145000, t: 50.260 days, Δt: 30 seconds, umax = (5.8e-01, 5.8e-01, 2.9e-02) ms⁻¹, wall time: 5.413 hours
i: 146000, t: 50.607 days, Δt: 30 seconds, umax = (5.9e-01, 5.7e-01, 2.7e-02) ms⁻¹, wall time: 5.449 hours
i: 147000, t: 50.955 days, Δt: 30 seconds, umax = (5.7e-01, 5.7e-01, 3.8e-02) ms⁻¹, wall time: 5.485 hours
i: 148000, t: 51.302 days, Δt: 30 seconds, umax = (5.5e-01, 5.8e-01, 3.6e-02) ms⁻¹, wall time: 5.521 hours
i: 149000, t: 51.649 days, Δt: 30 seconds, umax = (5.4e-01, 5.6e-01, 2.8e-02) ms⁻¹, wall time: 5.557 hours
i: 150000, t: 51.996 days, Δt: 30 seconds, umax = (5.3e-01, 5.4e-01, 2.5e-02) ms⁻¹, wall time: 5.593 hours
i: 151000, t: 52.343 days, Δt: 30 seconds, umax = (5.2e-01, 5.4e-01, 2.6e-02) ms⁻¹, wall time: 5.630 hours
i: 152000, t: 52.691 days, Δt: 30 seconds, umax = (5.5e-01, 5.3e-01, 3.1e-02) ms⁻¹, wall time: 5.666 hours
i: 153000, t: 53.038 days, Δt: 30 seconds, umax = (5.7e-01, 5.1e-01, 3.2e-02) ms⁻¹, wall time: 5.702 hours
i: 154000, t: 53.385 days, Δt: 30 seconds, umax = (5.8e-01, 5.3e-01, 4.1e-02) ms⁻¹, wall time: 5.738 hours
i: 155000, t: 53.732 days, Δt: 30 seconds, umax = (5.7e-01, 5.5e-01, 4.9e-02) ms⁻¹, wall time: 5.774 hours
i: 156000, t: 54.080 days, Δt: 30 seconds, umax = (5.6e-01, 5.7e-01, 3.9e-02) ms⁻¹, wall time: 5.811 hours
i: 157000, t: 54.427 days, Δt: 30 seconds, umax = (5.4e-01, 5.8e-01, 4.3e-02) ms⁻¹, wall time: 5.847 hours
i: 158000, t: 54.774 days, Δt: 30 seconds, umax = (5.4e-01, 5.7e-01, 6.1e-02) ms⁻¹, wall time: 5.883 hours
i: 159000, t: 55.121 days, Δt: 30 seconds, umax = (5.2e-01, 5.9e-01, 4.2e-02) ms⁻¹, wall time: 5.920 hours
i: 160000, t: 55.468 days, Δt: 30 seconds, umax = (5.1e-01, 6.0e-01, 4.2e-02) ms⁻¹, wall time: 5.956 hours
i: 161000, t: 55.816 days, Δt: 30 seconds, umax = (5.2e-01, 5.8e-01, 4.1e-02) ms⁻¹, wall time: 5.993 hours
i: 162000, t: 56.163 days, Δt: 30 seconds, umax = (5.3e-01, 5.6e-01, 5.5e-02) ms⁻¹, wall time: 6.029 hours
i: 163000, t: 56.510 days, Δt: 30 seconds, umax = (5.4e-01, 5.7e-01, 3.9e-02) ms⁻¹, wall time: 6.066 hours
i: 164000, t: 56.857 days, Δt: 30 seconds, umax = (5.7e-01, 5.5e-01, 6.3e-02) ms⁻¹, wall time: 6.102 hours
i: 165000, t: 57.205 days, Δt: 30 seconds, umax = (5.6e-01, 5.4e-01, 4.1e-02) ms⁻¹, wall time: 6.139 hours
i: 166000, t: 57.552 days, Δt: 30 seconds, umax = (5.7e-01, 5.4e-01, 5.1e-02) ms⁻¹, wall time: 6.175 hours
i: 167000, t: 57.899 days, Δt: 30 seconds, umax = (5.8e-01, 5.4e-01, 5.6e-02) ms⁻¹, wall time: 6.211 hours
i: 168000, t: 58.246 days, Δt: 30 seconds, umax = (5.7e-01, 5.6e-01, 5.2e-02) ms⁻¹, wall time: 6.248 hours
i: 169000, t: 58.593 days, Δt: 30 seconds, umax = (5.7e-01, 5.7e-01, 4.5e-02) ms⁻¹, wall time: 6.284 hours
i: 170000, t: 58.941 days, Δt: 30 seconds, umax = (5.7e-01, 5.6e-01, 5.0e-02) ms⁻¹, wall time: 6.320 hours
i: 171000, t: 59.288 days, Δt: 30 seconds, umax = (5.8e-01, 5.6e-01, 5.0e-02) ms⁻¹, wall time: 6.356 hours
i: 172000, t: 59.635 days, Δt: 30 seconds, umax = (5.8e-01, 5.6e-01, 6.1e-02) ms⁻¹, wall time: 6.392 hours
i: 173000, t: 59.982 days, Δt: 30 seconds, umax = (5.9e-01, 5.5e-01, 4.8e-02) ms⁻¹, wall time: 6.428 hours
i: 174000, t: 60.330 days, Δt: 30 seconds, umax = (5.8e-01, 5.4e-01, 3.2e-02) ms⁻¹, wall time: 6.466 hours
i: 175000, t: 60.677 days, Δt: 30 seconds, umax = (5.9e-01, 5.4e-01, 4.8e-02) ms⁻¹, wall time: 6.502 hours
i: 176000, t: 61.024 days, Δt: 30 seconds, umax = (5.9e-01, 5.5e-01, 3.7e-02) ms⁻¹, wall time: 6.538 hours
i: 177000, t: 61.371 days, Δt: 30 seconds, umax = (5.9e-01, 5.5e-01, 3.1e-02) ms⁻¹, wall time: 6.574 hours
i: 178000, t: 61.718 days, Δt: 30 seconds, umax = (5.8e-01, 5.7e-01, 5.8e-02) ms⁻¹, wall time: 6.610 hours
i: 179000, t: 62.066 days, Δt: 30 seconds, umax = (5.7e-01, 5.7e-01, 6.2e-02) ms⁻¹, wall time: 6.647 hours
i: 180000, t: 62.413 days, Δt: 30 seconds, umax = (5.8e-01, 5.5e-01, 5.3e-02) ms⁻¹, wall time: 6.683 hours
i: 181000, t: 62.760 days, Δt: 30 seconds, umax = (5.8e-01, 5.6e-01, 5.3e-02) ms⁻¹, wall time: 6.719 hours
i: 182000, t: 63.107 days, Δt: 30 seconds, umax = (5.7e-01, 5.8e-01, 5.1e-02) ms⁻¹, wall time: 6.756 hours
i: 183000, t: 63.455 days, Δt: 30 seconds, umax = (5.6e-01, 5.8e-01, 4.8e-02) ms⁻¹, wall time: 6.792 hours
i: 184000, t: 63.802 days, Δt: 30 seconds, umax = (5.5e-01, 5.7e-01, 5.5e-02) ms⁻¹, wall time: 6.829 hours
i: 185000, t: 64.149 days, Δt: 30 seconds, umax = (5.4e-01, 5.8e-01, 4.0e-02) ms⁻¹, wall time: 6.866 hours
